tx,action_index,to,selector,data_len,date,block,method,status,err,type,where,who,permissionId
0xf5e3c173828c1b058cfe727343626631b4a68efb836976d35cf65149f598cabd,0,0x0c2e5679153593b82a84eab5ca90895bb291cec4,0xd68bad2c,202,2025-03-25 09:33:50,69477266,Create Proposal,,,grant,0x0c2e5679153593b82a84eab5ca90895bb291cec4,0x879d9dfe3f36d7684bec1a2bb4aa8e8871a7245b,0x815fe80e4b37c8582a3b773d1d7071f983eacfd56b5965db654f3087c25ada33
0xf5e3c173828c1b058cfe727343626631b4a68efb836976d35cf65149f598cabd,5,0x0c2e5679153593b82a84eab5ca90895bb291cec4,0xd96054c4,202,2025-03-25 09:33:50,69477266,Create Proposal,,,revoke,0xd9a660fad6fe13c5a88bcf3156f9e3200340152b,0xffffffffffffffffffffffffffffffffffffffff,0x8c433a4cd6b51969eca37f974940894297b9fcf4b282a213fea5cd8f85289c90
0xf5e3c173828c1b058cfe727343626631b4a68efb836976d35cf65149f598cabd,6,0x0c2e5679153593b82a84eab5ca90895bb291cec4,0xd68bad2c,202,2025-03-25 09:33:50,69477266,Create Proposal,,,grant,0xd9a660fad6fe13c5a88bcf3156f9e3200340152b,0x8cbf8cec3f1762e614e6ed4d569998aa19dafb8b,0x8c433a4cd6b51969eca37f974940894297b9fcf4b282a213fea5cd8f85289c90
0xf5e3c173828c1b058cfe727343626631b4a68efb836976d35cf65149f598cabd,7,0x0c2e5679153593b82a84eab5ca90895bb291cec4,0xd96054c4,202,2025-03-25 09:33:50,69477266,Create Proposal,,,revoke,0x0c2e5679153593b82a84eab5ca90895bb291cec4,0xd9a660fad6fe13c5a88bcf3156f9e3200340152b,0xbf04b4486c9663d805744005c3da000eda93de6e3308a4a7a812eb565327b78d
0xf5e3c173828c1b058cfe727343626631b4a68efb836976d35cf65149f598cabd,8,0x0c2e5679153593b82a84eab5ca90895bb291cec4,0xd96054c4,202,2025-03-25 09:33:50,69477266,Create Proposal,,,revoke,0x0c2e5679153593b82a84eab5ca90895bb291cec4,0x879d9dfe3f36d7684bec1a2bb4aa8e8871a7245b,0x815fe80e4b37c8582a3b773d1d7071f983eacfd56b5965db654f3087c25ada33
0xdcc200989b685bf61254ab2b6d9947de35ffe91c02cbf6fbd3aee9f44f3527df,0,0x0c2e5679153593b82a84eab5ca90895bb291cec4,0xd68bad2c,202,2025-04-11 10:21:34,70165665,Create Proposal,,,grant,0xb51bf5812fd8ff0c3f1a1ab1e8f24426d497d5cf,0x44531fc97b956a5a79bfc8cbfde77611671ed647,0xf281525e53675515a6ba7cc7bea8a81e649b3608423ee2d73be1752cea887889
0xfb401de8243a4640efc5eda0fef2257588b371063110ffd1834abcb5dcbd5047,0,0x0c2e5679153593b82a84eab5ca90895bb291cec4,0xd68bad2c,202,2026-04-13 08:58:33,85475338,Create Proposal,,,grant,0x0c2e5679153593b82a84eab5ca90895bb291cec4,0x879d9dfe3f36d7684bec1a2bb4aa8e8871a7245b,0x815fe80e4b37c8582a3b773d1d7071f983eacfd56b5965db654f3087c25ada33
0xfb401de8243a4640efc5eda0fef2257588b371063110ffd1834abcb5dcbd5047,2,0x0c2e5679153593b82a84eab5ca90895bb291cec4,0xd96054c4,202,2026-04-13 08:58:33,85475338,Create Proposal,,,revoke,0x0c2e5679153593b82a84eab5ca90895bb291cec4,0x879d9dfe3f36d7684bec1a2bb4aa8e8871a7245b,0x815fe80e4b37c8582a3b773d1d7071f983eacfd56b5965db654f3087c25ada33
0x3e17aeaba23959435c86ed65f56c7b8b8ef187110d25a6b72f01686ccba513b1,0,0x0c2e5679153593b82a84eab5ca90895bb291cec4,0xd68bad2c,202,2026-04-14 08:09:53,85517078,Create Proposal,,,grant,0x0c2e5679153593b82a84eab5ca90895bb291cec4,0x879d9dfe3f36d7684bec1a2bb4aa8e8871a7245b,0x815fe80e4b37c8582a3b773d1d7071f983eacfd56b5965db654f3087c25ada33
0x3e17aeaba23959435c86ed65f56c7b8b8ef187110d25a6b72f01686ccba513b1,2,0x0c2e5679153593b82a84eab5ca90895bb291cec4,0xd96054c4,202,2026-04-14 08:09:53,85517078,Create Proposal,,,revoke,0x0c2e5679153593b82a84eab5ca90895bb291cec4,0x879d9dfe3f36d7684bec1a2bb4aa8e8871a7245b,0x815fe80e4b37c8582a3b773d1d7071f983eacfd56b5965db654f3087c25ada33
