Priority,Where,Who,Classification,Permission ID,Grant TX,Historical reconstruction,Required current check,Proposed disposition,Reason,Candidate tuple
HIGH,0xd9a660fad6fe13c5a88bcf3156f9e3200340152b,0x8cbf8cec3f1762e614e6ed4d569998aa19dafb8b,Plugin helper / manager candidate,0x8c433a4cd6b51969eca37f974940894297b9fcf4b282a213fea5cd8f85289c90,0xf5e3c173828c1b058cfe727343626631b4a68efb836976d35cf65149f598cabd,Candidate active,"DAO.isGranted(where, who, permissionId, 0x)",INVESTIGATE,Plugin-specific permission. Identify both contracts and confirm whether the plugin remains installed before any revocation.,"revoke(0xd9a660fad6fe13c5a88bcf3156f9e3200340152b, 0x8cbf8cec3f1762e614e6ed4d569998aa19dafb8b, 0x8c433a4cd6b51969eca37f974940894297b9fcf4b282a213fea5cd8f85289c90)"
HIGH,0x0c2e5679153593b82a84eab5ca90895bb291cec4,0x556fceb6d1ab85f7bf588843d93da960d6028093,Unclassified permission holder,0xf281525e53675515a6ba7cc7bea8a81e649b3608423ee2d73be1752cea887889,0x5e6438e741b09b4ca854be045fae9864ffaf32d32759db12cbc71607e888dc57,Candidate active,"DAO.isGranted(where, who, permissionId, 0x)",REVOKE,Not part of the documented final authority graph. Revoke only after current isGranted state and contract identity are recorded.,"revoke(0x0c2e5679153593b82a84eab5ca90895bb291cec4, 0x556fceb6d1ab85f7bf588843d93da960d6028093, 0xf281525e53675515a6ba7cc7bea8a81e649b3608423ee2d73be1752cea887889)"
HIGH,0x0c2e5679153593b82a84eab5ca90895bb291cec4,0xb43cc57d4a67f3995211f0f5d630e34ba60123b8,Unclassified permission holder,0xf281525e53675515a6ba7cc7bea8a81e649b3608423ee2d73be1752cea887889,0x3ecaeb5f645a5d7edd80719621e3fb2315864debdc3cfa9a3abbf9a699532cd4,Candidate active,"DAO.isGranted(where, who, permissionId, 0x)",REVOKE,Not part of the documented final authority graph. Revoke only after current isGranted state and contract identity are recorded.,"revoke(0x0c2e5679153593b82a84eab5ca90895bb291cec4, 0xb43cc57d4a67f3995211f0f5d630e34ba60123b8, 0xf281525e53675515a6ba7cc7bea8a81e649b3608423ee2d73be1752cea887889)"
HIGH,0x0c2e5679153593b82a84eab5ca90895bb291cec4,0x43de58067f46217263a36848f948dc4d3cacc49f,Unclassified permission holder,0xf281525e53675515a6ba7cc7bea8a81e649b3608423ee2d73be1752cea887889,0x5f79d64a17068039b6c4d69842cee0b6584921b988d527463150ace192d28456,Candidate active,"DAO.isGranted(where, who, permissionId, 0x)",REVOKE,Not part of the documented final authority graph. Revoke only after current isGranted state and contract identity are recorded.,"revoke(0x0c2e5679153593b82a84eab5ca90895bb291cec4, 0x43de58067f46217263a36848f948dc4d3cacc49f, 0xf281525e53675515a6ba7cc7bea8a81e649b3608423ee2d73be1752cea887889)"
HIGH,0x0c2e5679153593b82a84eab5ca90895bb291cec4,0x63066b0dd3a0e52212b934f7602056082c187e4b,Unclassified permission holder,0xf281525e53675515a6ba7cc7bea8a81e649b3608423ee2d73be1752cea887889,0x247e8c34c6100136eb786e3e46ab41ab7e35265bb0ed4ae17140498e142b1e29,Candidate active,"DAO.isGranted(where, who, permissionId, 0x)",REVOKE,Not part of the documented final authority graph. Revoke only after current isGranted state and contract identity are recorded.,"revoke(0x0c2e5679153593b82a84eab5ca90895bb291cec4, 0x63066b0dd3a0e52212b934f7602056082c187e4b, 0xf281525e53675515a6ba7cc7bea8a81e649b3608423ee2d73be1752cea887889)"
HIGH,0x0c2e5679153593b82a84eab5ca90895bb291cec4,0xe4fd8127ad01c2691c8955cb240d2062d1731020,Unclassified permission holder,0xf281525e53675515a6ba7cc7bea8a81e649b3608423ee2d73be1752cea887889,0xb64cce3adb987c08167c2ae9b89a663cdf33121c669029c3d6eeaceb1f21332f,Candidate active,"DAO.isGranted(where, who, permissionId, 0x)",REVOKE,Not part of the documented final authority graph. Revoke only after current isGranted state and contract identity are recorded.,"revoke(0x0c2e5679153593b82a84eab5ca90895bb291cec4, 0xe4fd8127ad01c2691c8955cb240d2062d1731020, 0xf281525e53675515a6ba7cc7bea8a81e649b3608423ee2d73be1752cea887889)"
HIGH,0x0c2e5679153593b82a84eab5ca90895bb291cec4,0xab7cfc38f65b79a4c7bd92810c70e78eaf2670ac,Unclassified permission holder,0xf281525e53675515a6ba7cc7bea8a81e649b3608423ee2d73be1752cea887889,0x2b55bc16f389d20f32c1a8b05fdc33fff7567e47a94fab93c05c146d61111da4,Candidate active,"DAO.isGranted(where, who, permissionId, 0x)",REVOKE,Not part of the documented final authority graph. Revoke only after current isGranted state and contract identity are recorded.,"revoke(0x0c2e5679153593b82a84eab5ca90895bb291cec4, 0xab7cfc38f65b79a4c7bd92810c70e78eaf2670ac, 0xf281525e53675515a6ba7cc7bea8a81e649b3608423ee2d73be1752cea887889)"
HIGH,0x0c2e5679153593b82a84eab5ca90895bb291cec4,0x232bd1c5fd0917df766eedb713ca47bba9e44bc5,Unclassified permission holder,0xf281525e53675515a6ba7cc7bea8a81e649b3608423ee2d73be1752cea887889,0x305a6052f1da280966fee8f646b19337d6cb2347c29870fbab17c5ed96e2fab0,Candidate active,"DAO.isGranted(where, who, permissionId, 0x)",REVOKE,Not part of the documented final authority graph. Revoke only after current isGranted state and contract identity are recorded.,"revoke(0x0c2e5679153593b82a84eab5ca90895bb291cec4, 0x232bd1c5fd0917df766eedb713ca47bba9e44bc5, 0xf281525e53675515a6ba7cc7bea8a81e649b3608423ee2d73be1752cea887889)"
HIGH,0x0c2e5679153593b82a84eab5ca90895bb291cec4,0x6cabeb549db04e82d79045f348b32418bd99b726,Unclassified permission holder,0xf281525e53675515a6ba7cc7bea8a81e649b3608423ee2d73be1752cea887889,0x06e55e806204a5de01332299a5dffc12c7c187bf99c9596acc8d220ac3e9b9df,Candidate active,"DAO.isGranted(where, who, permissionId, 0x)",REVOKE,Not part of the documented final authority graph. Revoke only after current isGranted state and contract identity are recorded.,"revoke(0x0c2e5679153593b82a84eab5ca90895bb291cec4, 0x6cabeb549db04e82d79045f348b32418bd99b726, 0xf281525e53675515a6ba7cc7bea8a81e649b3608423ee2d73be1752cea887889)"
HIGH,0x0c2e5679153593b82a84eab5ca90895bb291cec4,0x232bd1c5fd0917df766eedb713ca47bba9e44bc5,Unclassified permission holder,0xbf04b4486c9663d805744005c3da000eda93de6e3308a4a7a812eb565327b78d,0x8c236306b8ab7776c9655abf22efafff2bb650e1cb7ff764a841040142c1c2cb,Candidate active,"DAO.isGranted(where, who, permissionId, 0x)",REVOKE,Not part of the documented final authority graph. Revoke only after current isGranted state and contract identity are recorded.,"revoke(0x0c2e5679153593b82a84eab5ca90895bb291cec4, 0x232bd1c5fd0917df766eedb713ca47bba9e44bc5, 0xbf04b4486c9663d805744005c3da000eda93de6e3308a4a7a812eb565327b78d)"
